t,A,B,C
-0.0465,0.968583161128632,-0.268919820615269,-0.699663340513363
-0.0464,0.977268123568194,-0.305030518808678,-0.672237604759516
-0.0463,0.984564334529206,-0.340707751943954,-0.643856582585252
-0.0462,0.990461425696651,-0.375900820720587,-0.614560604976065
-0.0461,0.9949510169813,-0.410559713862129,-0.584391303119172
-0.046,0.998026728428272,-0.444635179184926,-0.553391549243346
-0.0459,0.9996841892833,-0.478078793588192,-0.521605395695108
-0.0458,0.999921044203816,-0.510843031865861,-0.489078012337956
-0.0457,0.998736956606018,-0.542881334242516,-0.455855622363502
-0.0456,0.996133609143172,-0.57414817253739,-0.421985436605783
-0.0455,0.992114701314478,-0.604599114862373,-0.387515586452106
-0.0454,0.986685944207868,-0.634190888762189,-0.35249505544568
-0.0453,0.979855052384247,-0.662881442706895,-0.316973609677352
-0.0452,0.971631732914674,-0.690630005849424,-0.28100172706525
-0.0451,0.962027671586085,-0.71739714596318,-0.244630525622905
-0.045,0.951056516295153,-0.743144825477394,-0.20791169081776
-0.0449,0.938733857653873,-0.767836455530598,-0.170897402123276
-0.0448,0.925077206834457,-0.791436947965387,-0.13364025886907
-0.0447,0.910105970684995,-0.813912765190618,-0.096193205494378
-0.0446,0.893841424151263,-0.835231967840168,-0.0586094563110957
-0.0445,0.876306680043864,-0.855364260160506,-0.0209424198833585
-0.0444,0.857526656193652,-0.874281033062634,0.0167543768689811
-0.0443,0.837528040042143,-0.89195540477715,0.0544273647350065
-0.0442,0.816339250717184,-0.908362259054731,0.0920230083375457
-0.0441,0.793990398647835,-0.923478280857682,0.129487882209847
-0.044,0.77051324277579,-0.937281989491891,0.1667687467161
-0.0439,0.745941145424182,-0.949753769132067,0.203812623707883
-0.0438,0.720309024887906,-0.960875896696899,0.240566871808992
-0.0437,0.693653305812803,-0.970632567034528,0.276979261221723
-0.0436,0.666011867434249,-0.97900991538253,0.31299804794828
-0.0435,0.637423989748689,-0.985996037070505,0.348572047321815
-0.0434,0.607930297694604,-0.991581004437262,0.383650706742657
